epoch,loss,val_loss
0,17.915443420410156,4.080834865570068
1,4.202377796173096,4.027737140655518
2,4.091665744781494,3.9413228034973145
3,3.973621368408203,3.694915294647217
4,3.7611770629882812,3.536696195602417
5,3.669544219970703,3.469402551651001
6,3.6336662769317627,3.470654249191284
7,3.5722012519836426,3.470365285873413
8,3.5515193939208984,3.3978307247161865
9,3.540405511856079,3.4109253883361816
10,3.535814046859741,3.3828670978546143
11,3.4940454959869385,3.3510067462921143
12,3.4448158740997314,3.305856466293335
13,3.395941734313965,3.2440295219421387
14,3.3909668922424316,3.1983418464660645
